ewrld_56b0ddd6-ea3d-4acf-b110-e3f22961d553	1	0	orels1	Time Motel *Puzzle world	Unexplored
wrld_7785a74a-7605-4a33-beea-b4501324b576	1	0	Ms_Malvolio	Lonely Yard In The Rain *Horror/Puzzle world	Unexplored
wrld_d22e091b-822d-48be-bb31-9a8032cf159f	1	0	Zorgy Baby	The Final Spell *Spookality puzzle world	Unexplored
wrld_3a0d59d1-389a-4ed7-98d4-79303b277b9f	1	0	PremiumRumpus	Dark Scanner *Exploration game	Unexplored
wrld_b873ed10-2105-4d8c-974c-0584af9a2966	1	0	TrueAquaPsych	Norah's AWAKENING Quest （Escape Room）	Unexplored
wrld_a54fc2fc-f16b-4d31-b139-e58acd0566e4	1	0	pichipichiJK	mini_escape_game_collection	Unexplored
wrld_7f6f4973-8d14-40f4-90ca-c900ccda0340	1	0	pichipichiJK	color_escape	Unexplored
wrld_774214eb-103c-4a03-9560-b01a9f457c36	1	0	pichipichiJK	[udon] hammer&armor_escape	Unexplored
wrld_d6956b9f-9019-4e7a-ae07-090cc2b70631	1	0	Air In	Rest & Sleep Paralysis *Horror	Explored
wrld_1f2ca1c2-b8f9-4582-ab17-156184dbd7f6	1	0	Air In	6G Experience	Explored
wrld_127614fb-ee67-4374-90ff-1678f3445ae2	1	0	Air In	2 Player Platforming Puzzle Party	Unexplored
wrld_72cb72a8-9747-4e92-8a6d-ae38f2fcd1eb	1	0	kok i	VIRchairL INSANITY *Chair obstacle course	Unexplored
wrld_dd12eec3-8ab8-405d-900c-26acf740bdbd	1	0	EvolvedAnt	EvolvedAnt Defuse *Coop puzzle game	Unexplored
wrld_f38f6074-8aa6-4014-9920-75c0ed874af7	1	0	_Asylum	Outpost Titan *Mystery Explore Space game	Unexplored
wrld_5ed18ac3-ae66-4589-a1fb-c5fb44769e31	1	0	Paci Stardust	Alright Island *Puzzle world	Unexplored
wrld_c57bab51-61b3-4b53-87c8-19aeca1072db	1	0	Jar	Treasure Hunt Island *Fun treasure hunt game	Unexplored
wrld_6b8191b7-7004-449a-bb72-daeee7a91353	1	0	Blue Cat	Constellations *You can make constellations out of the stars in the sky	Unexplored
wrld_baec7040-f9ac-4d66-9e58-3bc9d1f0256a	1	0	Haï~	VRWare Quest *Fun speedy minigames	Unexplored
wrld_477f8668-dee3-40e6-9215-a5f3a84f469e	1	0	DSMT	Power Stars! *You can play entire level from Mario64 including collecting yellow& red coins & stars	Unexplored
wrld_80571f6e-75e8-44d9-a93c-a36e9366e5ad	1	0	DSMT	Power Stars 2! *A 2nd fully playable level from Mario 64 (if you played the original try these)	Unexplored
wrld_28d93dcf-6393-43a8-8c4e-4504a0245902	1	0	CyanLaser	CyanKey *Escape/Puzzle game	Unexplored
wrld_29dec508-45ef-4b0d-85af-67a0339d10b2	1	0	FairlySadPanda	You Are the Detectives ＃1 （Spookality Alpha） *Spookality 2021 winner Puzzle/Mystery Game	Unexplored
wrld_50b559e3-9a66-49af-9c2c-bbf77c9582ba	1	0	LiveDimensions	Sample Corp *Spookality Puzzle game	Unexplored
wrld_c349f354-a368-4282-969a-4b179038217b	1	0	Maki Maki	GeoLocator *fun game	Unexplored
wrld_1735c569-e0d4-4e37-9767-24fe7215bd46	1	0	screamingcolor	Gumball Lounge 3.0 *Cool trippy puzzle hangout	Unexplored
wrld_be5ee881-d34f-49d4-827d-c94dfc9dafbb	1	0	chemical‗15	Star-Gatherers *Cute little star fishing game (very first world I ever visited)	Unexplored
wrld_6e65c9b1-3f5f-4e8f-80db-d360f996a144	1	0	mahu	Axe Throwing Club 2.0	Unexplored
wrld_8b0c3569-28d0-42e7-a7f3-14796e7d89d7	1	0	baid	VRChat LiDAR *Game	Unexplored
wrld_d1e9379a-943d-4d77-a045-d4078f3477c5	1	0	Ygh0r	Embrace Your Fears - Nyctophobia *Horror game that was pretty fun to figure out	Unexplored
wrld_a530e768-16d9-4c7a-88c0-781dcfc95825	1	0	ShirakoTakamoto	Halloween Visitor *Horror game (if i remember right i got too scared to finish this & its only 1 player)	Unexplored
wrld_a27a939f-1ee5-43d7-9215-f284c338bceb	1	0	_Asylum	Visitors *spookality game	Unexplored
wrld_d46384b0-2e0f-4c88-be13-1594442d8ba2	1	0	Cornfather	Väsen *Spooky game (I cant actually say this is good because I never tried it, I went to the world, got too spooked and left vowing to return with someone else so I didnt have to do it alone)	Unexplored
wrld_73a4d347-4e51-4947-8023-441618e53629	1	0	zSkull162	Illusion V2	Unexplored
wrld_ee79a4e2-ad45-483e-a0c7-767e7bcbd174	1	0	NYYLE	Bryxle *very simple lego/minecraft building world (if you like to build things)	Unexplored
wrld_68a3f45f-869e-4cc0-a907-7a7adcbe181c	1	0	griper00	particles abyss 2.0 *Quest only particle animation world	Unexplored
wrld_c478472e-42e3-4b21-8688-39fcf1ccc33e	1	0	PsionicDragon	Psionic's Pillow Fort Builder	Unexplored
wrld_92ab0f14-6710-4d58-acc8-cb30be9b92c1	1	0	PsionicDragon	Floating Earthmote *Multiple things here, chess, improv, bar and other stuff	Unexplored
wrld_5be99c77-c734-4326-b15a-d5c01ac9b09a	1	0	Klinck	Particles (Music Visualizer)	Unexplored
wrld_424c75c2-533c-4922-be0d-cd13c6aa6d6f	1	0	Antiheat	Antiheat's Apartment *Just a really cool cyberpunk hangout world	Unexplored
wrld_3dd9347c-bf35-4f2d-9f85-4c337c3a1e14	1	0	アナゴ（shrimpfrog）	POLYGONIA FOREST OF AMESHINOGI ［WIP］ *has a fun game where you have to take pictures of all the different species in it	Unexplored
wrld_36e2f0ee-d694-4f8c-8216-02016be70ddb	1	0	Whaddageek	The Zero-Gym *Zero gravity world/playground with different rooms including one with video player	Unexplored
wrld_bfeb8131-6324-4950-80bf-9fbb2c7cad43	1	0	のり	Butter of Terror *Horror but not too scary game	Unexplored
wrld_f5eee5d4-f740-4a87-8347-0e6b71116236	1	0	MrPringles	Thief Wars (Udon) *Fairly basic but fun competition game	Unexplored
wrld_b1062487-cb34-4bac-b9b9-fdf73f7a087d	1	0	Strun	Brightscale Hatchery! *Fun adventure world where you can ride a dragon	Unexplored 
wrld_9da1349e-470b-47fd-a9b5-bd57d49255e2	1	0	Maki Maki	Spirits of the Sea *Hangout world with fun crab puzzle	Unexplored
wrld_3a18ef94-2629-4ac4-96f7-d3263b10ab55	1	0	cwsaturn	Mystery Mountains Grapple *Dont know if the puzzle ever got fully finished but fun world to explore and grapple 	around with at least part if not all of a puzzle (have not tried it in a while and wasn't 	complete when I did)	Unexplored
wrld_2a1b7d78-c044-41f4-a810-2f8f4a188df4	1	0	Mimi sippo	ほらーはうす *I believe this is the 1st of several horror worlds with this one being the easiest and 	most basic (I have not tried the others but if I remember right this one was fun, and 	you had to find keys)	Unexplored
wrld_e437341b-cd7f-4d5c-ae30-bf19dea769e3	1	0	こむぎ∗	Open The Door *fun little puzzle solving world (takes like an hour)	Unexplored
