wrld_3d12fbc0-c470-4e97-9191-3cf3aeba8832	1	0	UMIUSiO［JP］ USiOPORT ウシヲポート	Underexplored
wrld_cf5ffc6e-6997-4dd4-8381-6c71e363b849	1	0	GoFluffYaself	ARK STATION AVATAR PVP HUB	Underexplored
wrld_0970a4b7-3edf-4755-9b7b-85de76a7630c	1	0	みろるのあ	Colorful Worlds' Portals	Underexplored
wrld_9f43c550-d889-4fb4-b6d7-8b384a17c0b8	1	0	LoginDecline	Escape⁄Puzzle Room Collection	Underexplored
wrld_d686f685-551b-4f9c-b44f-c991712f8952	1	0	Salena	Faceman's Domain	Underexplored
wrld_3843bcb2-ad66-40c3-bf76-8d01fc8449a3	1	0	JustSaber	Horror Portal Hub	Underexplored
wrld_fa12f381-6196-4ba5-9f9f-d443d6ebdd6b	1	0	にゃこみ	Horror Portal JP	Underexplored
wrld_30cc30d1-681c-4e67-b30b-89cf26db7a06	1	0	OkayuNameko4693	Horror Portal Montaj	Underexplored
wrld_524e4388-0151-4996-b90d-61fe763c9018	1	0	Ktkm	Just another portal world ver 1․9․3	Underexplored
wrld_d29426e0-db28-4f50-8ef9-92478c4788d0	1	0	Juice...	Median	Underexplored
wrld_e270fe9c-7d9f-46f3-9b3b-1657c292f5bf	1	0	HELLGHORN	METAMORPHOSI HUB	Underexplored
wrld_61ad9e30-e074-4c68-b380-9e68c9ab6840	1	0	AstroRabbit	Museum Hub World	Underexplored
wrld_c6a5be80-86a6-4789-a1fa-f6a3750c610d	1	0	MyroP	MyroP's portal world	Underexplored
wrld_596edb61-be52-4ba9-af2b-d2c38d952221	1	0	NSSA	NSS Space Jam Hub	Underexplored
wrld_79054f9d-53d7-41f4-ace1-9b96418bb9fe	1	0	UnityTrap	Old VRChat Worlds	Underexplored
wrld_190e5053-0726-428a-81c1-0c7059d3203d	1	0	ぱんだ（graph）	PandaPortalWorld	Underexplored
wrld_88c85201-35fa-4dad-87a9-eb6cfecd8987	1	0	Daniel81（だにえる）	Particle Live World Collection	Underexplored
wrld_a362d62f-c504-49a2-abd3-bf78d294139d	1	0	Olister	Portal Storage Unit	Underexplored
wrld_60f43dc6-97ff-478f-9371-dd1f103feff5	1	0	やくみネギ	PORTAL STORAGE-ポータルストレージ-	Underexplored
wrld_876ec8fc-765e-4130-a422-7d1484e9bf83	1	0	HiLow	Portal World -Babel-	Underexplored
wrld_29244fbc-ec58-4a3c-b219-9801a25cf85d	1	0	SUZAKU RIN	Portal World -Hello World-	Underexplored
wrld_188f0cd9-cead-4394-8195-290279b0afa0	1	0	ᴇᴠᴇʀ	Pretty World Storage 예쁜월드저장소	Underexplored
wrld_cf44c68b-604d-4d65-8226-721303169269	1	0	misti_rei	Puzzle Hub	Underexplored
wrld_dddaaebf-da3c-4216-b76e-aadf0403b741	1	0	hdorriker	Qoo H Bocuma International Airport	Underexplored
wrld_57acab93-57d2-4bf4-9cd7-7fbc686188e5	1	0	Fox Clooud	Quest Portal Hub	Underexplored
wrld_5ccb818a-404b-41d8-9ea8-d2fcbd7a0940	1	0	deaconline	Red Sea Immersive Festival	Underexplored
wrld_71a394d1-ccad-4b91-bca7-8b1908145d71	1	0	zandyxr	The Galleries of Virtual Expression	Underexplored
wrld_3024bcf5-d06a-4f11-bd96-64520ce0b911	1	0	VeniceImmersive	Venice Immersive 2024	Underexplored
wrld_560a2b5b-8c2d-454e-a854-33bd434ce7db	1	0	Ren_Ookami	VirtualMarket Archive (Fanworld)	Underexplored
wrld_68bb31aa-f123-4bc1-961d-d35c6304c81c	1	0	Blue Cat	World Repository	Underexplored
wrld_a471fd4a-1662-4dc2-b13c-861c935d9a0c	1	0	Blue Cat	World Repository [Daily Picks]	Underexplored
wrld_d1fdf86b-e756-441f-abb1-3679b9642759	1	0	mockyun	モ式 Gimmick Showroom	Underexplored
